"spectralSampleID","min_wavelength","max_wavelength","values_in_range","out_of_range_count"
"FSP_GUAN_20221017_1249",350,2500,TRUE,0
"FSP_GUAN_20221017_1345",350,2500,TRUE,0
"FSP_GUAN_20221017_1410",350,2500,TRUE,0
"FSP_GUAN_20221017_1433",350,2500,TRUE,0
"FSP_GUAN_20221017_1445",350,2500,TRUE,0
"FSP_GUAN_20221017_1453",350,2500,TRUE,0
"FSP_GUAN_20221017_0932",350,2500,TRUE,0
"FSP_GUAN_20221017_0959",350,2500,TRUE,0
"FSP_GUAN_20221017_0940",350,2500,TRUE,0
"FSP_GUAN_20221017_0954",350,2500,TRUE,0
"FSP_GUAN_20221018_0820",350,2500,TRUE,0
"FSP_GUAN_20221018_0824",350,2500,TRUE,0
"FSP_GUAN_20221018_0831",350,2500,TRUE,0
"FSP_GUAN_20221018_0835",350,2500,TRUE,0
"FSP_GUAN_20221018_1024",350,2500,TRUE,0
"FSP_GUAN_20221018_1001",350,2500,TRUE,0
"FSP_GUAN_20221018_1047",350,2500,TRUE,0
"FSP_GUAN_20221018_1052",350,2500,TRUE,0
"FSP_GUAN_20221018_1016",350,2500,TRUE,0
"FSP_GUAN_20221018_1034",350,2500,TRUE,0
"FSP_GUAN_20221018_1218",350,2500,TRUE,0
"FSP_GUAN_20221018_1213",350,2500,TRUE,0
"FSP_GUAN_20221018_1107",350,2500,TRUE,0
"FSP_GUAN_20221018_1234",350,2500,TRUE,0
"FSP_GUAN_20221018_1229",350,2500,TRUE,0
"FSP_GUAN_20221018_1437",350,2500,TRUE,0
"FSP_GUAN_20221018_1441",350,2500,TRUE,0
"FSP_GUAN_20221018_1433",350,2500,TRUE,0
"FSP_GUAN_20221018_1504",350,2500,TRUE,0
"FSP_GUAN_20221018_1508",350,2500,TRUE,0
"FSP_GUAN_20221018_1516",350,2500,TRUE,0
"FSP_GUAN_20221018_1531",350,2500,TRUE,0
"FSP_GUAN_20221018_1535",350,2500,TRUE,0
"FSP_GUAN_20221019_1732",350,2500,TRUE,0
"FSP_GUAN_20221019_1737",350,2500,TRUE,0
"FSP_GUAN_20221019_1745",350,2500,TRUE,0
"FSP_GUAN_20221019_1800",350,2500,TRUE,0
"FSP_GUAN_20221019_1748",350,2500,TRUE,0
"FSP_GUAN_20221019_1752",350,2500,TRUE,0
"FSP_GUAN_20221019_1808",350,2500,TRUE,0
"FSP_GUAN_20221019_1812",350,2500,TRUE,0
"FSP_GUAN_20221019_1804",350,2500,TRUE,0
"FSP_GUAN_20221019_1816",350,2500,TRUE,0
"FSP_GUAN_20221019_1834",350,2500,TRUE,0
"FSP_GUAN_20221019_1819",350,2500,TRUE,0
"FSP_GUAN_20221019_1838",350,2500,TRUE,0
"FSP_GUAN_20221021_1657",350,2500,TRUE,0
"FSP_GUAN_20221021_1654",350,2500,TRUE,0
"FSP_GUAN_20221021_1732",350,2500,TRUE,0
"FSP_GUAN_20221021_1737",350,2500,TRUE,0
"FSP_GUAN_20221021_1650",350,2500,TRUE,0
"FSP_GUAN_20221021_1643",350,2500,TRUE,0
"FSP_GUAN_20221021_1634",350,2500,TRUE,0
"FSP_GUAN_20221021_1629",350,2500,TRUE,0
"FSP_GUAN_20221021_1619",350,2500,TRUE,0
"FSP_GUAN_20221021_1555",350,2500,TRUE,0
"FSP_GUAN_20221021_1603",350,2500,TRUE,0
"FSP_GUAN_20221021_1612",350,2500,TRUE,0
"FSP_GUAN_20221021_1724",350,2500,TRUE,0
"FSP_GUAN_20221021_1712",350,2500,TRUE,0
"FSP_GUAN_20221021_1721",350,2500,TRUE,0
"FSP_GUAN_20221021_1700",350,2500,TRUE,0
"FSP_GUAN_20221021_1704",350,2500,TRUE,0
"FSP_GUAN_20221021_1708",350,2500,TRUE,0
