"year","domainID","siteID","boutID","start_date","stop_date"
2024,"D01","HARV","fsp.HARV.2024_Leaf","2024-08-06","2024-08-09"
2016,"D02","SERC","fsp.SERC.2016_Leaf","2016-07-25","2016-07-28"
2014,"D03","DSNY","fsp.DSNY.2014_Leaf","2014-05-08","2014-05-08"
2014,"D03","OSBS","fsp.OSBS.2014_Leaf","2014-05-06","2014-05-07"
2022,"D04","GUAN","fsp.GUAN.2022_Leaf","2022-10-17","2022-10-21"
2016,"D05","STEI","fsp.STEI.2016_Leaf","2016-09-11","2016-09-12"
2016,"D05","TREE","fsp.TREE.2016_Leaf","2016-09-11","2016-09-11"
2016,"D05","UNDE","fsp.UNDE.2016_Leaf","2016-09-08","2016-09-09"
2015,"D07","GRSM","fsp.GRSM.2015_Leaf","2015-07-31","2015-08-04"
2015,"D07","ORNL","fsp.ORNL.2015_Leaf","2015-08-01","2015-08-02"
2013,"D10","CPER","fsp.CPER.2013_Leaf","2013-06-25","2013-06-25"
2020,"D10","RMNP","fsp.RMNP.2020_Leaf","2020-07-06","2020-07-23"
2022,"D10","STER","fsp.STER.2022_Leaf","2022-07-19","2022-07-25"
2023,"D12","YELL","fsp.YELL.2023_Leaf","2023-07-11","2023-07-13"
2024,"D13","NIWO","fsp.NIWO.2024_Leaf","2024-07-22","2024-07-24"
2019,"D16","WREF","fsp.WREF.2019_Leaf","2019-07-16","2019-07-18"
2013,"D17","SJER","fsp.SJER.2013_Leaf","2013-06-10","2013-06-14"
2013,"D17","SOAP","fsp.SOAP.2013_Leaf","2013-06-15","2013-06-15"
2021,"D19","HEAL","fsp.HEAL.2021_Leaf","2021-07-20","2021-07-21"
2019,"D20","PUUM","fsp.PUUM.2019_Leaf","2019-01-15","2019-01-16"
